gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3693339332,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1221192941,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Outside of Sumatra,Florida,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,30.002773,-84.97685,,,,,,,12/11/1999 0:00,11,12,1999,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS1221192941,,,,CC_BY_4_0,,obsr529173,,,9/8/2022 9:04,,
3678801352,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1197228200,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,St. Tammany Parish CBC - Sector 4,Louisiana,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,30.418446,-90.18775,,,,,,,1/3/1998 0:00,3,1,1998,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS1197228200,,,,CC_BY_4_0,,obsr24208,,,9/8/2022 9:15,,
3677892866,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1197240651,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,"Persimmon Point, Payne's Prairie",Florida,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,29.596893,-82.28846,,,,,,,12/11/1999 0:00,11,12,1999,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS1197240651,,,,CC_BY_4_0,,obsr197404,,,9/8/2022 9:42,,
3671691378,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1325295177,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Angelina NF--SF Austin Experim. Forest (PPW-E 013),Texas,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,31.505312,-94.76326,,,,,,,1/13/1996 0:00,13,1,1996,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS1325295177,,,,CC_BY_4_0,,obsr110940,,,9/8/2022 9:22,,
3609408556,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1197221274,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,"Persimmon Point, Payne's Prairie",Florida,PRESENT,7,e2e717bf-551a-4917-bdc9-4fa0f342c530,29.597116,-82.290886,,,,,,,12/4/1999 0:00,4,12,1999,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS1197221274,,,,CC_BY_4_0,,obsr197404,,,9/8/2022 9:15,,
3584905697,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1324562931,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Attwater Prairie Chicken NWR (CTC 004),Texas,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,29.671349,-96.273705,,,,,,,12/15/2000 0:00,15,12,2000,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS1324562931,,,,CC_BY_4_0,,obsr110940,,,9/8/2022 9:06,,
3581759461,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1322365069,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Turf Farm Pine Flats,Louisiana,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,30.432867,-89.96867,,,,,,,1/30/1982 0:00,30,1,1982,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS1322365069,,,,CC_BY_4_0,,obsr17516,,,9/8/2022 9:43,,
3580296573,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1337716313,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,St. Tammany CBC--Covington NW,Louisiana,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,30.500261,-90.106064,,,,,,,12/22/1983 0:00,22,12,1983,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS1337716313,,,,CC_BY_4_0,,obsr17516,,,9/8/2022 9:18,,
3574698774,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1319430610,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,Freeport,Texas,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,28.95415,-95.35962,,,,,,,1/6/1991 0:00,6,1,1991,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS1319430610,,,,CC_BY_4_0,,obsr216909,,,9/8/2022 9:58,,
3564959786,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1105115604,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,,SPECIES,"Centronyx henslowii (Audubon, 1829)",Centronyx henslowii,,US,"Mississippi Sandhill Crane National Wildlife Refuge, MS",Mississippi,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,30.445547,-88.66066,,,,,,,2/9/1997 0:00,9,2,1997,10850807,10850807,HUMAN_OBSERVATION,CLO,EBIRD,OBS1105115604,,,,CC_BY_4_0,,obsr1143676,,,9/8/2022 9:09,,
