OID_,Id,Species,decLong,decLat
117,0,Centronyx henslowii,-81.4680023,32.0769005
118,0,Centronyx henslowii,-95.4241028,28.9300995
119,0,Centronyx henslowii,-95.3330994,29.0662003
120,0,Centronyx henslowii,-94.4108963,30.5478992
121,0,Centronyx henslowii,-95.8914032,32.8530998
122,0,Centronyx henslowii,-82.8313980,28.0706005
123,0,Centronyx henslowii,-95.2347031,29.0477009
124,0,Centronyx henslowii,-82.7804031,30.4123001
125,0,Centronyx henslowii,-81.0229034,27.5746002
126,0,Centronyx henslowii,-94.7109985,32.7807007
127,0,Centronyx henslowii,-81.5964966,31.3987007
128,0,Centronyx henslowii,-84.0149994,39.5643997
129,0,Centronyx henslowii,-86.6235962,30.4741993
130,0,Centronyx henslowii,-80.2996979,33.4949989
131,0,Centronyx henslowii,-94.2872009,36.3492012
132,0,Centronyx henslowii,-93.6722031,29.7691002
133,0,Centronyx henslowii,-92.2319031,32.6394005
134,0,Centronyx henslowii,-80.0653992,33.3955002
135,0,Centronyx henslowii,-92.4789963,31.1210003
136,0,Centronyx henslowii,-88.2789993,35.1076012
137,0,Centronyx henslowii,-96.0139999,29.9584999
138,0,Centronyx henslowii,-95.7095032,29.9620991
139,0,Centronyx henslowii,-93.6986008,29.7626991
140,0,Centronyx henslowii,-82.1722031,34.5744019
141,0,Centronyx henslowii,-87.9800034,34.9221001
142,0,Centronyx henslowii,-90.1048965,30.4783993
143,0,Centronyx henslowii,-95.6759033,33.3101997
144,0,Centronyx henslowii,-95.2982025,32.3404999
145,0,Centronyx henslowii,-94.0703964,32.6763992
146,0,Centronyx henslowii,-95.9409027,32.8548012
147,0,Centronyx henslowii,-94.4512024,32.0404015
148,0,Centronyx henslowii,-94.5882034,32.7779999
149,0,Centronyx henslowii,-94.2008972,33.2812004
150,0,Centronyx henslowii,-95.9723969,32.8600006
151,0,Centronyx henslowii,-94.7337036,32.4888992
152,0,Centronyx henslowii,-95.8929977,28.7213001
153,0,Centronyx henslowii,-80.8315964,28.8146000
154,0,Centronyx henslowii,-95.6539993,29.7353992
155,0,Centronyx henslowii,-80.8412018,28.8125000
156,0,Centronyx henslowii,-92.2220993,32.6188011
157,0,Centronyx henslowii,-94.7630997,29.5349007
158,0,Centronyx henslowii,-91.8403015,31.2017002
159,0,Centronyx henslowii,-85.1864014,30.4339008
